transaction_date,region,distributor,store,sales_channel,product,category,units_sold,revenue
2024-04-24,North,Amazon Distribution,Porto Velho Outlet,Convenience,Potato Chips 120g,Snacks,7,47.25
2024-01-16,South,SulMax Distribuidora,Florianópolis Market Center,Pharmacy,Classic Soda 350ml,Beverages,4,17.2
2024-11-28,South,SulMax Distribuidora,Florianópolis Market Center,Supermarket,Paper Towels 2-roll,Household,79,678.61
2024-12-23,Southeast,Rio Valley Distribution,Rio Market Center,Cash & Carry,Mineral Water 500ml,Beverages,69,188.37
2024-07-13,Northeast,Nordeste Partners,Salvador Retail Point,Cash & Carry,Orange Juice 1L,Beverages,27,208.44
2024-03-04,Central-West,MidBrasil Supply,Goiânia Sales Point,Pharmacy,Pasta 500g,Grocery,14,77.0
2024-02-05,Central-West,MidBrasil Supply,Cuiabá Store Center,Supermarket,Paper Towels 2-roll,Household,15,133.8
2024-05-22,Central-West,Cerrado Logistics,Goiânia Sales Point,Cash & Carry,Cookies Pack 140g,Confectionery,73,507.35
2024-12-09,Central-West,Cerrado Logistics,Brasília Retail Hub,Convenience,Potato Chips 120g,Snacks,11,73.81
2024-08-24,North,Amazon Distribution,Porto Velho Outlet,Supermarket,Mineral Water 500ml,Beverages,58,156.6
2024-04-27,South,SulMax Distribuidora,Florianópolis Market Center,Convenience,Classic Soda 350ml,Beverages,4,18.88
2024-06-10,Southeast,Atlântico Distribuição,São Paulo Prime Store,Supermarket,Laundry Detergent 1L,Household,37,473.97
2024-03-12,Southeast,Rio Valley Distribution,Belo Horizonte Outlet,Supermarket,Peanut Mix 200g,Snacks,41,349.32
2024-10-25,South,Pampa Supply,Florianópolis Market Center,E-commerce,Cookies Pack 140g,Confectionery,13,86.45
2024-03-19,Northeast,Coastal Distribution,Recife Store Hub,Cash & Carry,Orange Juice 1L,Beverages,95,709.65
2024-11-01,Southeast,Rio Valley Distribution,São Paulo Prime Store,Pharmacy,Cookies Pack 140g,Confectionery,16,109.28
2024-10-01,South,SulMax Distribuidora,Florianópolis Market Center,Cash & Carry,Dish Soap 500ml,Household,111,523.92
2024-08-20,Central-West,Cerrado Logistics,Brasília Retail Hub,Pharmacy,Mineral Water 500ml,Beverages,2,6.0
2024-06-01,Central-West,Cerrado Logistics,Cuiabá Store Center,Cash & Carry,Dish Soap 500ml,Household,96,471.36
2024-09-28,Northeast,Nordeste Partners,Salvador Retail Point,Supermarket,Pasta 500g,Grocery,10,59.9
2024-05-02,Southeast,SP Trade Hub,São Paulo Prime Store,Convenience,Peanut Mix 200g,Snacks,4,31.44
